analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top5_all,0.8881481481481481,0.8817777777777779,0.8952592592592593,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top5_all,0.8524444444444444,0.841777777777778,0.8635555555555557,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top5_all,0.9346666666666668,0.9244444444444445,0.9466666666666667,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.25,top5_all,0.8773333333333333,0.8666666666666668,0.892,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.5,cosine_all,0.9672685177913308,0.9651730653995262,0.9693062047363317,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.5,cosine_all,0.9489207610660657,0.9446453071895535,0.9520358993624594,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.5,cosine_all,0.9715497337795223,0.9681096561284666,0.9757990110326403,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,mean_shift,0.5,cosine_all,0.9813350585284045,0.9786807496359764,0.9840406849320233,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,mean_shift,0.5,sign_all,0.9286876765210099,0.9241826165346999,0.9335304754401977,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,mean_shift,0.5,sign_all,0.9012697117697119,0.8926768046768047,0.9090367163700497,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,mean_shift,0.5,sign_all,0.9622933177933177,0.9562885139551807,0.9685542543875878,1,5,10000,seed_cluster
